,validation_loss,elbo_validation,reconstruction_loss_validation,kl_local_validation,kl_global_validation,disentangling_loss_validation,train_loss,rec_loss,kld_loss,elbo_train,reconstruction_loss_train,kl_local_train,kl_global_train,disentangling_loss_train,r2_train,r2_ood
"32_0.5_0.1_[1024, 1024]",139.69132904809254,200.12789916992188,132.97616577148438,67.1517333984375,0.0,0.0,140.9230200161785,134.0375578069049,68.85462951660156,202.89224243164062,134.03761291503906,68.85462951660156,0.0,0.0,0.9849755953172576,0.9834345293575475
"32_0.5_0.1_[1024, 1024, 1024]",142.71673311052913,198.43017578125,136.52635192871094,61.903831481933594,0.0,0.0,143.68724676370633,137.4413225496095,62.459251403808594,199.90054321289062,137.44129943847656,62.459251403808594,0.0,0.0,0.9822996136669633,0.981400463217985
"32_0.5_0.1_[2048, 2048]",140.8226379073724,204.48162841796875,133.7494354248047,70.73218536376953,0.0,0.0,136.60620118064608,129.31899955279295,72.87202453613281,202.19102478027344,129.31900024414062,72.87202453613281,0.0,0.0,0.9849308662303605,0.9836172968041875
"32_0.5_0.1_[2048, 2048, 2048]",143.83149229878325,203.34429931640625,137.21897888183594,66.12532043457031,0.0,0.0,139.06554945609741,132.37523862095566,66.90311431884766,199.27838134765625,132.37525939941406,66.90311431884766,0.0,0.0,0.9834409679079307,0.9828223336726105
"32_0.5_0.1_[4096, 4096]",142.86286261178364,203.77178955078125,137.36795043945312,66.4038314819336,0.0,0.0,138.27452535565277,132.53477126289576,69.36256408691406,201.8973388671875,132.53477478027344,69.36256408691406,0.0,0.0,0.9834921736614823,0.9827413652609261
"32_0.5_1.0_[1024, 1024]",139.95224673738284,201.21005249023438,133.14581298828125,68.06424713134766,0.0,0.0,140.57591956865835,133.61339860255285,69.62519836425781,203.23863220214844,133.61343383789062,69.62519836425781,0.0,0.0,0.9832906408311755,0.9817578011503649
