,r2_ood
10_512,0.9942706019118219
10_1024,0.9952861139113026
10_2048,0.9944244683622906
32_512,0.9952042130180069
32_1024,0.9948352441049311
32_2048,0.99340349397707
64_512,0.9946482381341307
64_1024,0.9938536226766185
64_2048,0.9932546869898968
128_512,0.9942367198747927
