,validation_loss,elbo_validation,reconstruction_loss_validation,kl_local_validation,kl_global_validation,disentangling_loss_validation,train_loss,rec_loss,kld_loss,elbo_train,reconstruction_loss_train,kl_local_train,kl_global_train,disentangling_loss_train,r2_train,r2_ood
"10_2.0_1.0_[1024, 1024]",28.40780434679378,39.16993713378906,26.395889282226562,12.774049758911133,0.0,0.0,28.94430678528214,26.876808638538748,13.126970291137695,40.00377655029297,26.876806259155273,13.126970291137695,0.0,0.0,0.9635606779664008,0.9343724018008831
"10_2.0_1.0_[1024, 1024, 1024]",28.541077783166156,38.13251876831055,26.29123306274414,11.84128475189209,0.0,0.0,29.136989458290316,26.878659316962228,11.88595199584961,38.764610290527344,26.878658294677734,11.88595199584961,0.0,0.0,0.9788631507888517,0.9401369586812314
"10_2.0_1.0_[2048, 2048]",28.068351702570308,39.18421936035156,26.029346466064453,13.154874801635742,0.0,0.0,28.193497423620173,26.086960976207774,13.590559959411621,39.67751693725586,26.086956024169922,13.590559959411621,0.0,0.0,0.9816899801839215,0.9456417862644184
"16_0.0_0.1_[1024, 1024]",24.565857633913,51.436981201171875,23.270183563232422,28.166799545288086,0.0,0.0,24.77798816225018,23.448173244644217,28.90902328491211,52.357200622558594,23.448177337646484,28.90902328491211,0.0,0.0,0.9899757984810564,0.9457739269740174
"16_0.0_0.1_[1024, 1024, 1024]",24.30272806198065,50.762969970703125,22.97589683532715,27.787071228027344,0.0,0.0,25.13446077443341,23.77012301605145,28.572507858276367,52.342628479003906,23.77012062072754,28.572507858276367,0.0,0.0,0.9901826879063895,0.9698566162048025
"16_0.0_0.1_[2048, 2048]",24.274866107672832,54.28118896484375,23.089588165283203,31.191600799560547,0.0,0.0,24.58913443566075,23.369548306831106,32.09437561035156,55.463932037353516,23.369556427001953,32.09437561035156,0.0,0.0,0.9902708659941706,0.9381698775223241
"16_0.0_1.0_[1024, 1024]",27.922757599391886,41.408111572265625,25.16069984436035,16.247411727905273,0.0,0.0,28.366538979364535,25.52577935745602,16.710351943969727,42.23612976074219,25.525779724121094,16.710351943969727,0.0,0.0,0.9636520230055947,0.9212214518766758
"16_0.0_1.0_[1024, 1024, 1024]",27.978300892104077,42.18260192871094,25.272720336914062,16.909879684448242,0.0,0.0,28.495897317503502,25.785501030407843,16.93998146057129,42.72547912597656,25.78549575805664,16.93998146057129,0.0,0.0,0.9739374376139731,0.9428022500228513
"16_0.0_1.0_[2048, 2048]",27.365424559922435,42.08135986328125,24.666046142578125,17.415311813354492,0.0,0.0,27.635865849697364,24.85346017928816,17.951007843017578,42.804481506347656,24.853471755981445,17.951007843017578,0.0,0.0,0.9746409225291441,0.9282970588803797
"16_0.5_0.1_[1024, 1024]",24.860626968907592,52.14649200439453,23.60479164123535,28.541698455810547,0.0,0.0,25.100868073527245,23.817368204990988,29.170452117919922,52.987823486328125,23.817373275756836,29.170452117919922,0.0,0.0,0.9748907994343531,0.8898831371621666
"16_0.5_0.1_[1024, 1024, 1024]",24.729246406659794,49.01971435546875,23.171916961669922,25.847795486450195,0.0,0.0,25.25497509054243,23.667710456658956,26.34463882446289,50.012351989746094,23.667713165283203,26.34463882446289,0.0,0.0,0.9927205085069586,0.9639341847761412
"16_0.5_0.1_[2048, 2048]",24.543122925484806,52.219757080078125,23.238985061645508,28.98077392578125,0.0,0.0,24.54189745018884,23.20806912742878,29.64063262939453,52.84870147705078,23.208070755004883,29.64063262939453,0.0,0.0,0.9876333032223543,0.9419798278398469
"16_0.5_1.0_[1024, 1024]",27.47235827167694,42.398597717285156,24.838314056396484,17.56028175354004,0.0,0.0,28.11772285493439,25.42982549254075,17.91931915283203,43.349143981933594,25.42982292175293,17.91931915283203,0.0,0.0,0.9676450641559573,0.9213401517101965
"16_0.5_1.0_[1024, 1024, 1024]",28.280900791797254,39.11844253540039,25.35648536682129,13.761958122253418,0.0,0.0,28.848359771018004,25.877989408306703,13.978212356567383,39.856201171875,25.877988815307617,13.978212356567383,0.0,0.0,0.9847494290486385,0.9539558258289692
"16_0.5_1.0_[2048, 2048]",27.04691972193303,43.13546371459961,24.535993576049805,18.599470138549805,0.0,0.0,27.36582681830655,24.77289486833646,19.206912994384766,43.97981643676758,24.772903442382812,19.206912994384766,0.0,0.0,0.9732661294896305,0.9178622178191251
"16_1.0_0.1_[1024, 1024]",24.995430653012704,51.33224105834961,23.68930435180664,27.64293670654297,0.0,0.0,25.15739142743472,23.810633011328694,28.502826690673828,52.313453674316406,23.81062889099121,28.502826690673828,0.0,0.0,0.9764355440216056,0.9001220376405022
"16_1.0_0.1_[1024, 1024, 1024]",24.88579225138383,51.30864715576172,23.517059326171875,27.79158592224121,0.0,0.0,25.197842296177566,23.80700333986821,28.240385055541992,52.047386169433594,23.80699920654297,28.240385055541992,0.0,0.0,0.9902119381190901,0.9550591062977745
"16_1.0_0.1_[2048, 2048]",24.72197945751424,51.04616928100586,23.278038024902344,27.768131256103516,0.0,0.0,24.69382348342866,23.21864347568161,28.36884117126465,51.58747482299805,23.2186336517334,28.36884117126465,0.0,0.0,0.9884548803097398,0.9548755450594989
"16_1.0_1.0_[1024, 1024]",27.404646992967827,43.66016387939453,24.975664138793945,18.684499740600586,0.0,0.0,27.905430130031814,25.404398213225612,19.238704681396484,44.643104553222656,25.404401779174805,19.238704681396484,0.0,0.0,0.9613872441177818,0.91107819816701
"16_1.0_1.0_[1024, 1024, 1024]",27.623786744864596,42.00642013549805,25.085670471191406,16.92074966430664,0.0,0.0,28.39899196812742,25.79425966363709,17.36488151550293,43.159141540527344,25.794261932373047,17.36488151550293,0.0,0.0,0.974960203256185,0.945688677042371
"16_1.0_1.0_[2048, 2048]",27.046258232073097,41.810367584228516,24.338050842285156,17.47231674194336,0.0,0.0,27.596024571929934,24.814088926196586,17.94797134399414,42.762054443359375,24.814085006713867,17.94797134399414,0.0,0.0,0.9790033550904768,0.9103730836642158
"16_2.0_0.1_[1024, 1024]",24.662579082201223,50.94207763671875,23.286725997924805,27.655349731445312,0.0,0.0,25.094946121659532,23.69550632569435,28.129440307617188,51.824951171875,23.695512771606445,28.129440307617188,0.0,0.0,0.9806233752617828,0.9452030858190663
"16_2.0_0.1_[1024, 1024, 1024]",24.70288840989203,50.04210662841797,23.27768898010254,26.764415740966797,0.0,0.0,25.324649434964545,23.869325151804176,27.33003044128418,51.19935989379883,23.86932945251465,27.33003044128418,0.0,0.0,0.9911665738739777,0.9016868290329698
"16_2.0_0.1_[2048, 2048]",24.190239480775745,57.1304817199707,23.127647399902344,34.00283432006836,0.0,0.0,24.515711940492817,23.435304260235952,34.57305145263672,58.00835418701172,23.435302734375,34.57305145263672,0.0,0.0,0.9876168022207804,0.9357145365740143
"16_2.0_1.0_[1024, 1024]",27.801086021811148,41.86048126220703,25.12310791015625,16.73737335205078,0.0,0.0,28.239705294620457,25.50259918855437,17.106910705566406,42.60948944091797,25.502580642700195,17.106910705566406,0.0,0.0,0.9636011052207493,0.9202296478996316
"16_2.0_1.0_[1024, 1024, 1024]",27.756748753915396,41.21735382080078,24.999759674072266,16.217594146728516,0.0,0.0,28.419203971567942,25.628084315744417,16.41835594177246,42.04644012451172,25.62808609008789,16.41835594177246,0.0,0.0,0.9819806202000675,0.9413813517429018
"16_2.0_1.0_[2048, 2048]",26.89121755664822,42.70439147949219,24.31697654724121,18.387413024902344,0.0,0.0,27.503206158677923,24.8594589195453,18.8839111328125,43.74335479736328,24.859445571899414,18.8839111328125,0.0,0.0,0.975923043569172,0.8959973691170934
"20_0.0_0.1_[1024, 1024]",23.780699663272877,57.32110595703125,22.4013729095459,34.919734954833984,0.0,0.0,24.040212880053183,22.62328146271047,35.871665954589844,58.49494934082031,22.623281478881836,35.871665954589844,0.0,0.0,0.9865654013639663,0.9578882630368868
"20_0.0_0.1_[1024, 1024, 1024]",23.712243575167005,56.919822692871094,22.22015953063965,34.69966506958008,0.0,0.0,24.380267017780184,22.896803708901242,34.4991455078125,57.39593505859375,22.896791458129883,34.4991455078125,0.0,0.0,0.9911488564736517,0.9697363556349089
"20_0.0_0.1_[2048, 2048]",24.10857314038658,56.81268310546875,22.63018035888672,34.18250274658203,0.0,0.0,24.229496916293183,22.708235938127817,35.17366409301758,57.88188934326172,22.708227157592773,35.17366409301758,0.0,0.0,0.9636934136969426,0.9258378890184559
"20_0.0_1.0_[1024, 1024]",26.856812311820324,44.52294921875,23.921035766601562,20.60191535949707,0.0,0.0,27.59668339691266,24.586389995707478,21.12486457824707,45.71125793457031,24.586393356323242,21.12486457824707,0.0,0.0,0.9712619560742084,0.9442684864286449
"20_0.0_1.0_[1024, 1024, 1024]",27.252004916757038,43.09967041015625,24.345035552978516,18.754636764526367,0.0,0.0,28.15353646763913,25.179985034600904,19.184202194213867,44.36419677734375,25.17999267578125,19.184202194213867,0.0,0.0,0.9809934426785477,0.9462151815197849
"20_0.0_1.0_[2048, 2048]",26.362025077385212,46.48424530029297,23.618083953857422,22.866159439086914,0.0,0.0,26.85568483179603,24.025927503414255,23.581315994262695,47.60723876953125,24.025922775268555,23.581315994262695,0.0,0.0,0.9683298885377268,0.9269358804430583
"20_0.5_0.1_[1024, 1024]",23.42236818943892,57.72914505004883,22.085739135742188,35.64340591430664,0.0,0.0,24.009255291857386,22.64296804246719,36.434329986572266,59.07728576660156,22.642955780029297,36.434329986572266,0.0,0.0,0.9871151987526312,0.9526860154951874
