,validation_loss,elbo_validation,reconstruction_loss_validation,kl_local_validation,kl_global_validation,disentangling_loss_validation,train_loss,rec_loss,kld_loss,elbo_train,reconstruction_loss_train,kl_local_train,kl_global_train,disentangling_loss_train,r2_train,r2_ood
"32_0.0_0.1_[1024, 1024]",25.333327309259666,77.17250061035156,23.522642135620117,53.64985656738281,0.0,0.0,26.096649701121923,24.240313618778313,55.002540588378906,79.24284362792969,24.240304946899414,55.002540588378906,0.0,0.0,0.9897872762755652,0.0
"32_0.0_0.1_[1024, 1024, 1024]",26.347861676631354,69.3804931640625,23.927488327026367,45.4530029296875,0.0,0.0,27.15697106787993,24.708396976757488,45.98260498046875,70.69100189208984,24.708396911621094,45.98260498046875,0.0,0.0,0.9922362172121958,0.0
"32_0.0_0.1_[2048, 2048]",26.088411712722426,73.6586685180664,23.950979232788086,49.70768737792969,0.0,0.0,26.359539304498256,24.15691623105874,51.22380447387695,75.38072204589844,24.15692138671875,51.22380447387695,0.0,0.0,0.9795826143331704,0.0
"32_0.0_1.0_[1024, 1024]",30.837196981212024,55.02915573120117,26.734468460083008,28.294687271118164,0.0,0.0,31.460432361167243,27.313607966411656,28.598800659179688,55.91240310668945,27.313602447509766,28.598800659179688,0.0,0.0,0.9751858679251854,0.0
"32_0.0_1.0_[1024, 1024, 1024]",30.661461001535375,55.28764343261719,26.900115966796875,28.387529373168945,0.0,0.0,31.707652479678377,27.855998660729163,29.069087982177734,56.925079345703125,27.85599136352539,29.069087982177734,0.0,0.0,0.9782600251433609,0.0
"32_0.0_1.0_[2048, 2048]",29.694330241782584,57.84271240234375,25.855913162231445,31.986799240112305,0.0,0.0,30.43905795655711,26.51121129699757,32.7320442199707,59.24326705932617,26.51122283935547,32.7320442199707,0.0,0.0,0.9709089814589515,0.0
"32_0.5_0.1_[1024, 1024]",26.115415954491247,71.269775390625,23.813804626464844,47.45596694946289,0.0,0.0,26.70085734825073,24.354858257594906,48.371131896972656,72.72599029541016,24.3548583984375,48.371131896972656,0.0,0.0,0.9862538409538562,0.0
"32_0.5_0.1_[1024, 1024, 1024]",25.943760148586275,75.58306884765625,24.023151397705078,51.55991744995117,0.0,0.0,26.846398241252597,24.901540579019265,52.21094512939453,77.11249542236328,24.901552200317383,52.21094512939453,0.0,0.0,0.9906252077306609,0.0
"32_0.5_0.1_[2048, 2048]",26.106727880996417,74.06917572021484,23.951675415039062,50.11750030517578,0.0,0.0,26.311942536215255,24.10149384912929,51.405799865722656,75.50728607177734,24.101486206054688,51.405799865722656,0.0,0.0,0.9785757380203389,0.0
"32_0.5_1.0_[1024, 1024]",29.811519590630535,57.73461151123047,26.093713760375977,31.640899658203125,0.0,0.0,30.733542525878537,26.90446619046094,32.58787155151367,59.49232864379883,26.904457092285156,32.58787155151367,0.0,0.0,0.979228794154928,0.0
"32_0.5_1.0_[1024, 1024, 1024]",30.15358568865941,56.62797927856445,26.543439865112305,30.08453941345215,0.0,0.0,31.322726575046453,27.593277740182216,31.078752517700195,58.672027587890625,27.593276977539062,31.078752517700195,0.0,0.0,0.9820811166096641,0.0
"32_0.5_1.0_[2048, 2048]",29.212989290769112,59.753814697265625,25.629989624023438,34.12382507324219,0.0,0.0,29.97727666106762,26.281082463806595,35.20185089111328,61.482940673828125,26.281089782714844,35.20185089111328,0.0,0.0,0.9678095916367354,0.0
"32_1.0_0.1_[1024, 1024]",25.811438608095226,72.78434753417969,23.688024520874023,49.09632110595703,0.0,0.0,26.577548591544197,24.395815213870918,50.44468688964844,74.84049224853516,24.39580535888672,50.44468688964844,0.0,0.0,0.9847239973896749,0.0
"32_1.0_0.1_[1024, 1024, 1024]",25.730258313132236,75.6415023803711,23.785661697387695,51.855838775634766,0.0,0.0,26.749910099356,24.79220748012492,52.20537185668945,76.9975814819336,24.792207717895508,52.20537185668945,0.0,0.0,0.9898778401152242,0.0
