,validation_loss,elbo_validation,reconstruction_loss_validation,kl_local_validation,kl_global_validation,disentangling_loss_validation,train_loss,rec_loss,kld_loss,elbo_train,reconstruction_loss_train,kl_local_train,kl_global_train,disentangling_loss_train,r2_train,r2_ood
"32_0.5_0.1_[1024, 1024]",21.86019177780124,69.91678619384766,20.039676666259766,49.87710952758789,0.0,0.0,22.499809822718387,20.612661081050323,51.702701568603516,72.31536865234375,20.612668991088867,51.702701568603516,0.0,0.0,0.9778699109836014,0.9601028410134349
"32_0.5_0.1_[1024, 1024, 1024]",22.046522144667463,68.33518981933594,20.117826461791992,48.21736526489258,0.0,0.0,23.209768014816735,21.25563522903537,48.85331726074219,70.10894775390625,21.255630493164062,48.85331726074219,0.0,0.0,0.9777722552508888,0.9603534460526676
"32_0.5_0.1_[2048, 2048]",21.4665647012373,72.3155288696289,19.66322135925293,52.652305603027344,0.0,0.0,21.698967490069965,19.8500517060824,53.98293685913086,73.83297729492188,19.85004425048828,53.98293685913086,0.0,0.0,0.9797978882013528,0.9299496392421217
"32_0.5_1.0_[1024, 1024]",26.938487098413887,49.828269958496094,23.1346435546875,26.693626403808594,0.0,0.0,27.350630019104784,23.479630500854917,27.164913177490234,50.64453887939453,23.479625701904297,27.164913177490234,0.0,0.0,0.9603399415070535,0.9272639821817305
"32_0.5_1.0_[1024, 1024, 1024]",26.838739288668783,47.16346740722656,23.252017974853516,23.911447525024414,0.0,0.0,27.940751172313814,24.245940306152445,24.632064819335938,48.87800216674805,24.24593734741211,24.632064819335938,0.0,0.0,0.9708091493445328,0.9250192734977652
"32_0.5_1.0_[2048, 2048]",25.62829288130052,52.75197219848633,21.92960548400879,30.82236671447754,0.0,0.0,26.114603101988536,22.333162335920928,31.512004852294922,53.845176696777344,22.33316993713379,31.512004852294922,0.0,0.0,0.9658502454455421,0.8745153557558116
"32_1.0_0.1_[1024, 1024]",22.46465064189802,67.71013641357422,20.493350982666016,47.2167854309082,0.0,0.0,23.04429028077121,21.005065867488977,48.84370803833008,69.84878540039062,21.00507354736328,48.84370803833008,0.0,0.0,0.9675084156722666,0.9282956719993525
"32_1.0_0.1_[1024, 1024, 1024]",21.865789209808874,70.66709899902344,20.069576263427734,50.59751892089844,0.0,0.0,22.82486772433389,21.00342629120033,51.308204650878906,72.31163024902344,21.0034236907959,51.308204650878906,0.0,0.0,0.9881619610131045,0.9541140631603232
"32_1.0_0.1_[2048, 2048]",21.48623460311097,71.7391128540039,19.663593292236328,52.07551956176758,0.0,0.0,21.83534170731473,19.965664517011877,53.41933822631836,73.385009765625,19.965669631958008,53.41933822631836,0.0,0.0,0.9784971538555088,0.9234822888482398
"32_1.0_1.0_[1024, 1024]",26.425196872803006,51.02037811279297,22.8310604095459,28.189319610595703,0.0,0.0,27.164307406983518,23.48929967604884,28.82358169555664,52.31288146972656,23.489299774169922,28.82358169555664,0.0,0.0,0.9597393742614595,0.9279811717411308
"32_1.0_1.0_[1024, 1024, 1024]",26.596472869739568,47.57380676269531,23.11044692993164,24.463359832763672,0.0,0.0,27.815410998644822,24.162242787371518,25.63626480102539,49.79850769042969,24.16224479675293,25.63626480102539,0.0,0.0,0.9671417277288957,0.9361209877607579
"32_1.0_1.0_[2048, 2048]",25.253170771327966,53.68866729736328,21.738672256469727,31.949995040893555,0.0,0.0,25.906351104624733,22.29709035751918,32.81145477294922,55.108551025390625,22.297094345092773,32.81145477294922,0.0,0.0,0.9605310056459471,0.8927962323325851
"32_2.0_0.1_[1024, 1024]",21.902535208334985,68.93496704101562,19.99382972717285,48.941139221191406,0.0,0.0,22.599772144174445,20.637302787943607,50.31973648071289,70.95703887939453,20.63730239868164,50.31973648071289,0.0,0.0,0.9799853312900711,0.9547854713813593
"32_2.0_0.1_[1024, 1024, 1024]",22.044273946144003,68.33570098876953,20.0903377532959,48.245361328125,0.0,0.0,22.977292961372065,20.99422190421868,48.96470260620117,69.95892333984375,20.994224548339844,48.96470260620117,0.0,0.0,0.9857309127901633,0.9439842384360475
"32_2.0_0.1_[2048, 2048]",21.52704313681071,70.28181457519531,19.627506256103516,50.65430450439453,0.0,0.0,21.84641085645393,19.89115718534151,52.140079498291016,72.03123474121094,19.891155242919922,52.140079498291016,0.0,0.0,0.9801120912077074,0.9351056941819931
"32_2.0_1.0_[1024, 1024]",26.79128282965482,47.794395446777344,22.864885330200195,24.92951011657715,0.0,0.0,27.527903470674325,23.490844211947344,25.63212776184082,49.12297439575195,23.490846633911133,25.63212776184082,0.0,0.0,0.9651983173656193,0.9426350491149698
"32_2.0_1.0_[1024, 1024, 1024]",26.512455307894232,47.70851135253906,22.845104217529297,24.8634090423584,0.0,0.0,27.641597310006766,23.90842336065177,25.30965232849121,49.21807098388672,23.908416748046875,25.30965232849121,0.0,0.0,0.9822456333796143,0.94553978090443
"32_2.0_1.0_[2048, 2048]",25.443011964930545,52.193763732910156,21.79517936706543,30.398584365844727,0.0,0.0,26.164967457343714,22.37427578207987,31.589092254638672,53.96337127685547,22.37428092956543,31.589092254638672,0.0,0.0,0.9644602553149811,0.8986237793739268
"64_0.5_0.1_[1024, 1024]",18.30931807263292,97.87701416015625,15.615243911743164,82.26177215576172,0.0,0.0,19.54751010505962,16.7268033084955,86.12845611572266,102.85525512695312,16.726802825927734,86.12845611572266,0.0,0.0,0.9763448842224,0.9334652174564916
"64_0.5_0.1_[1024, 1024, 1024]",18.715022911026015,94.38050079345703,16.01128387451172,78.36921691894531,0.0,0.0,20.5364037289037,17.72760017683583,81.41461944580078,99.14222717285156,17.727603912353516,81.41461944580078,0.0,0.0,0.982642904060346,0.9319482592431434
"64_0.5_0.1_[2048, 2048]",17.566491083027792,103.4738540649414,14.955190658569336,88.51866149902344,0.0,0.0,18.166805477088054,15.492548223589477,90.65281677246094,106.1453628540039,15.492544174194336,90.65281677246094,0.0,0.0,0.9831605258529498,0.9509843448903869
"64_0.5_1.0_[1024, 1024]",24.170273438427433,63.20362854003906,19.468782424926758,43.73484802246094,0.0,0.0,25.616261251541808,20.67371836283317,45.977134704589844,66.65086364746094,20.67372703552246,45.977134704589844,0.0,0.0,0.958623902503019,0.9251463444146567
"64_0.5_1.0_[1024, 1024, 1024]",26.396543226296302,48.48033905029297,22.190107345581055,26.290233612060547,0.0,0.0,28.000487202860896,23.585257440666084,27.595186233520508,51.18044662475586,23.58526039123535,27.595186233520508,0.0,0.0,0.9765821487161829,0.9387474419055835
"64_0.5_1.0_[2048, 2048]",23.268016309971078,66.39215850830078,18.34296989440918,48.04918670654297,0.0,0.0,24.266259070595332,19.193006954137285,49.495140075683594,68.68814849853516,19.193008422851562,49.495140075683594,0.0,0.0,0.9653362312510981,0.9160144803522912
"64_1.0_0.1_[1024, 1024]",18.531180943897983,99.41703796386719,15.727583885192871,83.689453125,0.0,0.0,19.69860980680357,16.828204399679624,85.6837158203125,102.51191711425781,16.828201293945312,85.6837158203125,0.0,0.0,0.971656753645114,0.9402400199072465
"64_1.0_0.1_[1024, 1024, 1024]",19.63290004840598,88.86078643798828,16.560121536254883,72.30066680908203,0.0,0.0,21.210162811851795,18.059467068284633,74.1340103149414,92.1934814453125,18.05947494506836,74.1340103149414,0.0,0.0,0.9732353862010404,0.9353336543512085
"64_1.0_0.1_[2048, 2048]",17.793402536533385,100.81336975097656,15.093216896057129,85.72015380859375,0.0,0.0,18.391199119436376,15.614618428152909,88.14543151855469,103.76005554199219,15.614622116088867,88.14543151855469,0.0,0.0,0.9795006441331651,0.9332127319535389
"64_1.0_1.0_[1024, 1024]",24.87904367763351,58.10728454589844,19.913902282714844,38.193382263183594,0.0,0.0,26.447245258818914,21.20339788021951,40.33729934692383,61.54070281982422,21.203405380249023,40.33729934692383,0.0,0.0,0.9635890840407138,0.9171377767950104
"64_1.0_1.0_[1024, 1024, 1024]",26.65341569202149,47.72856521606445,22.41307258605957,25.315492630004883,0.0,0.0,28.214368051088403,23.7551150516611,26.62240219116211,50.37751007080078,23.755109786987305,26.62240219116211,0.0,0.0,0.9765234178694795,0.9280345038070319
"64_1.0_1.0_[2048, 2048]",23.245076893709005,66.8524169921875,18.264850616455078,48.58757019042969,0.0,0.0,24.415156105386345,19.358352670032115,49.334686279296875,68.69303894042969,19.358348846435547,49.334686279296875,0.0,0.0,0.9609863854663775,0.9037973552726211
"64_2.0_0.1_[1024, 1024]",18.331933562620122,101.1446304321289,15.7266845703125,85.4179458618164,0.0,0.0,19.52125297111739,16.827781345575232,88.31055450439453,105.13832092285156,16.827770233154297,88.31055450439453,0.0,0.0,0.978624434715163,0.9498081767430289
"64_2.0_0.1_[1024, 1024, 1024]",19.48764789490896,88.04801940917969,16.425796508789062,71.62222290039062,0.0,0.0,21.14273753550193,17.988248338022668,73.78919219970703,91.7774429321289,17.988248825073242,73.78919219970703,0.0,0.0,0.9728173754951367,0.9531180545758947
"64_2.0_0.1_[2048, 2048]",17.64715356066243,102.55728149414062,15.066165924072266,87.4911117553711,0.0,0.0,18.27415460749025,15.607474433798592,90.39594268798828,106.00342559814453,15.6074800491333,90.39594268798828,0.0,0.0,0.9783015892241193,0.9419852421221907
"64_2.0_1.0_[1024, 1024]",24.599457742921373,60.242149353027344,19.739091873168945,40.503055572509766,0.0,0.0,26.146040731773823,21.043170507365044,42.52391052246094,63.56708526611328,21.04317283630371,42.52391052246094,0.0,0.0,0.9548161746516176,0.9211984288382546
"64_2.0_1.0_[1024, 1024, 1024]",26.702084697458243,48.114044189453125,22.238563537597656,25.875478744506836,0.0,0.0,28.03554305210855,23.4218835248949,26.745861053466797,50.16773986816406,23.4218807220459,26.745861053466797,0.0,0.0,0.9820696274549061,0.9362580922338462
