,N_PCs,pretrain_iters,iterations,batch_size,r2_ood
0,50.0,0.0,50000.0,256.0,0.6063174435056674
1,50.0,0.0,50000.0,1024.0,0.5937903718510794
2,50.0,0.0,200000.0,256.0,0.6135662875770184
3,50.0,0.0,200000.0,1024.0,0.5993215209195166
4,50.0,1000.0,50000.0,256.0,0.7135732265319342
5,50.0,1000.0,50000.0,1024.0,0.7149284414805667
6,50.0,1000.0,200000.0,256.0,0.6891876287956338
7,50.0,1000.0,200000.0,1024.0,0.679268913101807
8,50.0,10000.0,50000.0,256.0,0.6958572814974106
9,50.0,10000.0,50000.0,1024.0,0.6730858273378825
10,50.0,10000.0,200000.0,256.0,0.7698928575499807
11,50.0,10000.0,200000.0,1024.0,0.7568959053459241
12,100.0,0.0,50000.0,256.0,0.6298885035528364
13,100.0,0.0,50000.0,1024.0,0.5713708017324635
14,100.0,0.0,200000.0,256.0,0.6194810384722333
15,100.0,0.0,200000.0,1024.0,0.6210196173085668
16,100.0,1000.0,50000.0,256.0,0.727708404642658
17,100.0,1000.0,50000.0,1024.0,0.7164647224981248
18,100.0,1000.0,200000.0,256.0,0.6102684216022226
19,100.0,1000.0,200000.0,1024.0,0.6346956120164725
20,100.0,10000.0,50000.0,256.0,0.7348448757133988
21,100.0,10000.0,50000.0,1024.0,0.719797379638207
22,100.0,10000.0,200000.0,256.0,0.6648851053156832
23,100.0,10000.0,200000.0,1024.0,0.7431582025603521
24,300.0,0.0,50000.0,256.0,0.6230184892443463
25,300.0,0.0,50000.0,1024.0,0.64341685453688
26,300.0,0.0,200000.0,256.0,0.6138363864951939
27,300.0,0.0,200000.0,1024.0,0.604240143853286
28,300.0,1000.0,50000.0,256.0,0.6766783191881879
29,300.0,1000.0,50000.0,1024.0,0.6788046408662645
30,300.0,1000.0,200000.0,256.0,0.6468432984237813
31,300.0,1000.0,200000.0,1024.0,0.666544810278752
32,300.0,10000.0,50000.0,256.0,0.6874308801231045
33,300.0,10000.0,50000.0,1024.0,0.675469307297264
34,300.0,10000.0,200000.0,256.0,0.6943093098281645
35,300.0,10000.0,200000.0,1024.0,0.6987076485580491
