"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset.dataset_path","dataset.perturbation_covariate_reps.drug","dataset.perturbation_covariate_reps.drugs","dataset.perturbation_covariates.dose","dataset.perturbation_covariates.drug","dataset.perturbation_covariates.drugs","dataset.sample_covariate_reps.cell_line","dataset.sample_covariates","dataset.split","dataset.split_covariates","dataset.wandb_project","logger.group","logger.log_model","logger.offline","logger.project","model.cond_output_dropout","model.condition_embedding_dim","model.condition_mode","model.conditioning","model.decoder_dims","model.decoder_dropout","model.ema","model.embedding_type","model.epsilon","model.flow_noise","model.flow_type","model.hidden_dims","model.hidden_dropout","model.layer_norm_before_concatenation","model.layers_after_pool.dims","model.layers_after_pool.dropout_rate","model.layers_after_pool.layer_type","model.layers_before_pool.cell_line.dims","model.layers_before_pool.cell_line.dropout_rate","model.layers_before_pool.cell_line.layer_type","model.layers_before_pool.dose.dims","model.layers_before_pool.dose.dropout_rate","model.layers_before_pool.dose.layer_type","model.layers_before_pool.drug.dims","model.layers_before_pool.drug.dropout_rate","model.layers_before_pool.drug.layer_type","model.layers_before_pool.drugs.dims","model.layers_before_pool.drugs.dropout_rate","model.layers_before_pool.drugs.layer_type","model.learning_rate","model.linear_projection_before_concatenation","model.multi_steps","model.pooling","model.regularization","model.tau_a","model.tau_b","model.time_encoder_dims","model.time_encoder_dropout","model.time_freqs","model.time_max_period","optimized_metric","training.batch_size","training.num_iterations","training.ood_n_conditions_on_log_iteration","training.ood_n_conditions_on_train_end","training.out_dir","training.save_model","training.test_n_conditions_on_log_iteration","training.test_n_conditions_on_train_end","training.valid_freq","ood_1_e_distance_mean","ood_1_mmd_mean","ood_1_r_squared_mean","ood_2_e_distance_mean","ood_2_mmd_mean","ood_2_r_squared_mean","ood_3_e_distance_mean","ood_3_mmd_mean","ood_3_r_squared_mean","ood_4_e_distance_mean","ood_4_mmd_mean","ood_4_r_squared_mean","pca_decoded_ood_1_e_distance_mean","pca_decoded_ood_1_mmd_mean","pca_decoded_ood_1_r_squared_mean","pca_decoded_ood_2_e_distance_mean","pca_decoded_ood_2_mmd_mean","pca_decoded_ood_2_r_squared_mean","pca_decoded_ood_3_e_distance_mean","pca_decoded_ood_3_mmd_mean","pca_decoded_ood_3_r_squared_mean","pca_decoded_ood_4_e_distance_mean","pca_decoded_ood_4_mmd_mean","pca_decoded_ood_4_r_squared_mean"
"ethereal-leaf-6884","finished","-","","","2025-09-11T11:05:28.000Z","4238","","","","ecfp_dict","[""logdose""]","","[""drug""]","cell_line_dict","[""cell_line""]","10","[""cell_line""]","otfm_sciplex","hparam_search","true","false","otfm_sciplex","0.5","1024","deterministic","concatenation","[4096,4096,4096]","0","0.1","concatenated_drug_embeddings","1","0.1","constant_noise","[1024,1024,1024]","0","false","[512,512]","0","mlp","","","","","","","","","","","","","0.00001","false","50","attention_token","0","1","1","[1024,1024,1024]","0","1024","0","r_squared","1024","200000","","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/sciplex_new","false","0","0","50000","4.660737991333008","0.015636159107089043","0.829012735407963","7.803618907928467","0.024005893617868423","0.7224735519555968","10.7159423828125","0.031760379672050476","0.6957584117113811","30.59941291809082","0.08290616422891617","0.3334398710702978","4.66082239151001","0.015633465722203255","0.9239187479897066","7.803591251373291","0.02400107868015766","0.8754482748248527","10.715950965881348","0.03175802901387215","0.8498045193116739","30.59935760498047","0.08290574699640274","0.6206385672276975"
"lunar-sun-6073","finished","-","","","2025-09-08T11:47:03.000Z","3309","","","","ecfp_dict","[""logdose""]","","[""drug""]","cell_line_dict","[""cell_line""]","10","[""cell_line""]","otfm_sciplex","hparam_search","true","false","otfm_sciplex","0.9","256","deterministic","film","[4096,4096,4096]","0","1","concatenated_drug_embeddings","1","0.5","constant_noise","[1024,1024,1024]","0","false","[1024,1024]","0.2","mlp","","","","","","","","","","","","","0.00001","false","20","attention_token","0","1","1","[1024,1024,1024]","0","1024","0","r_squared","1024","200000","","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/sciplex_new","false","0","0","50000","4.571386337280273","0.015362318605184557","0.8318494278372652","7.665309429168701","0.02366652712225914","0.726835863011472","10.77381420135498","0.03189970552921295","0.6938781478621484","31.67162322998047","0.08548316359519958","0.30732245241049366","4.5713677406311035","0.01536144968122244","0.9251268787790784","7.665252685546875","0.02366338856518269","0.8773468633328293","10.773884773254396","0.031898874789476395","0.8487201730925265","31.671688079833984","0.08548349887132645","0.6064184625621231"
"lilac-water-6799","finished","-","","","2025-09-11T08:05:47.000Z","4123","","","","ecfp_dict","[""logdose""]","","[""drug""]","cell_line_dict","[""cell_line""]","10","[""cell_line""]","otfm_sciplex","hparam_search","true","false","otfm_sciplex","0.5","1024","deterministic","concatenation","[4096,4096,4096]","0.2","1","concatenated_drug_embeddings","1","1","constant_noise","[1024,1024,1024]","0","false","[512,512]","0.2","mlp","","","","","","","","","","","","","0.00001","false","50","attention_token","0","1","1","[1024,1024,1024]","0","1024","0","r_squared","1024","200000","","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/sciplex_new","false","0","0","50000","4.852205753326416","0.0159384086728096","0.8206388337034902","7.925009727478027","0.024158094078302383","0.7182359934874989","10.787848472595217","0.031868018209934235","0.6945697515714221","29.732337951660156","0.08177885413169861","0.35056710675976677","4.85225772857666","0.015935752540826797","0.920321249832259","7.924980640411377","0.024152744561433792","0.8732673239289407","10.787900924682615","0.03186526149511337","0.8483055286820131","29.73240852355957","0.08177818357944489","0.6296006431973828"
"frosty-grass-6743","finished","-","","","2025-09-11T06:17:34.000Z","3927","","","","ecfp_dict","[""logdose""]","","[""drug""]","cell_line_dict","[""cell_line""]","10","[""cell_line""]","otfm_sciplex","hparam_search","true","false","otfm_sciplex","0.9","256","deterministic","film","[2048,2048]","0","0.1","closest_cell_line","0.5","1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0.2","mlp","","","","","","","","","","","","","0.00001","false","1","attention_token","0","1","1","[1024,1024,1024]","0","1024","0","r_squared","1024","200000","","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/sciplex_new","false","0","0","50000","4.71541690826416","0.01568446308374405","0.8265464252069636","7.854001998901367","0.024137428030371662","0.7197882213091441","10.794431686401367","0.0320780910551548","0.6941822211795751","32.220191955566406","0.08702563494443893","0.29747491774291224","4.715462684631348","0.01568162627518177","0.9226323855974068","7.853986263275147","0.02413196675479412","0.8741494809096978","10.794403076171877","0.03207600489258766","0.8485464161805173","32.220027923583984","0.08702602237462997","0.6002387677705927"
"visionary-silence-6115","finished","-","","","2025-09-08T14:43:34.000Z","3648","","","","ecfp_dict","[""logdose""]","","[""drug""]","cell_line_dict","[""cell_line""]","10","[""cell_line""]","otfm_sciplex","hparam_search","true","false","otfm_sciplex","0.5","256","deterministic","film","[2048,2048]","0","0.0001","concatenated_drug_embeddings","1","1.5","constant_noise","[1024,1024,1024]","0","false","[512,512]","0","mlp","","","","","","","","","","","","","0.00005","false","1","attention_token","0","1","1","[1024,1024,1024]","0","1024","0","r_squared","1024","200000","","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/sciplex_new","false","0","0","50000","4.813731670379639","0.01584707945585251","0.8223638416251285","7.690517902374268","0.023855797946453094","0.7212661098967883","10.806591033935549","0.032193373888731","0.689111950549281","30.43307113647461","0.08304274082183838","0.33705411846097444","4.813777446746826","0.015844102948904037","0.92088169522876","7.690542221069336","0.02385059744119644","0.8763871963516622","10.80663776397705","0.03219124674797058","0.8491176476041444","30.43323516845703","0.08304223418235779","0.622173826351782"
"scarlet-universe-6768","finished","-","","","2025-09-11T07:05:24.000Z","3971","","","","ecfp_dict","[""logdose""]","","[""drug""]","cell_line_dict","[""cell_line""]","10","[""cell_line""]","otfm_sciplex","hparam_search","true","false","otfm_sciplex","0.5","256","deterministic","film","[4096,4096,4096]","0.2","0.1","concatenated_drug_embeddings","1","1","constant_noise","[1024,1024,1024]","0","false","[1024,1024]","0.2","mlp","","","","","","","","","","","","","0.00005","false","1","attention_token","0.2","1","1","[1024,1024,1024]","0","1024","0","r_squared","1024","200000","","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/sciplex_new","false","0","0","50000","4.618391990661621","0.015457453206181526","0.8299114851207378","7.704397201538086","0.023740801960229874","0.725325579256134","10.84282112121582","0.03195952624082565","0.6925604137264506","31.833927154541016","0.08540172129869461","0.31015499481885694","4.618429660797119","0.015454445034265518","0.9242815867963594","7.7043609619140625","0.023735715076327324","0.8766813772601215","10.84286117553711","0.03195716813206673","0.8480357987325758","31.83403778076172","0.08540123701095581","0.6060743937862869"
"smart-disco-6358","finished","-","","","2025-09-10T17:06:07.000Z","3304","","","","ecfp_dict","[""logdose""]","","[""drug""]","cell_line_dict","[""cell_line""]","10","[""cell_line""]","otfm_sciplex","hparam_search","true","false","otfm_sciplex","0.5","1024","deterministic","film","[4096,4096,4096]","0","0.1","direct_embedding","0.5","1","constant_noise","[1024,1024,1024]","0","false","[512,512]","0","mlp","","","","","","","","","","","","","0.0001","false","1","attention_token","0.1","1","1","[1024,1024,1024]","0","1024","10000","r_squared","1024","200000","","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/sciplex_new","false","0","0","50000","4.7396626472473145","0.015687355771660805","0.8255506556958082","7.865379810333252","0.02405664138495922","0.719535390227848","10.862709045410156","0.0319802425801754","0.692036012551885","32.35905456542969","0.0865180566906929","0.2949443553657614","4.7397003173828125","0.015686718747019768","0.92223672259872","7.86531925201416","0.0240536667406559","0.8740148767325095","10.862764358520508","0.03197995945811272","0.8475664007664553","32.359004974365234","0.0865195244550705","0.598633821146473"
"mild-brook-7212","finished","-","","","2025-09-11T23:53:52.000Z","3147","","","","ecfp_dict","[""logdose""]","","[""drug""]","cell_line_dict","[""cell_line""]","10","[""cell_line""]","otfm_sciplex","hparam_search","true","false","otfm_sciplex","0.5","1024","deterministic","resnet","[4096,4096,4096]","0","0.0001","direct_embedding","1","0.5","constant_noise","[1024,1024,1024]","0","false","[512,512]","0.2","mlp","","","","","","","","","","","","","0.00001","false","20","attention_token","0.2","1","1","[1024,1024,1024]","0","1024","0","r_squared","1024","200000","","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/sciplex_new","false","0","0","50000","4.571245193481445","0.015244522131979464","0.8307913487559545","7.662979125976563","0.02348873950541019","0.7271704076653625","10.888965606689451","0.03195789456367493","0.6884776976463769","30.728424072265625","0.08290651440620422","0.3242197478345709","4.57125186920166","0.015243489295244215","0.9244731115900024","7.662992000579834","0.023485302925109863","0.8768303998847391","10.889020919799805","0.03195750713348389","0.8461785863478282","30.72856712341309","0.08290687948465347","0.6164975252013014"
"earthy-thunder-6103","finished","-","","","2025-09-08T13:55:52.000Z","3221","","","","ecfp_dict","[""logdose""]","","[""drug""]","cell_line_dict","[""cell_line""]","10","[""cell_line""]","otfm_sciplex","hparam_search","true","false","otfm_sciplex","0.9","64","deterministic","film","[2048,2048]","0","0.1","concatenated_drug_embeddings","0.5","1","constant_noise","[2048,2048,2048]","0","false","[512,512]","0","mlp","","","","","","","","","","","","","0.00001","false","1","attention_token","0.2","1","1","[1024,1024,1024]","0","1024","10000","r_squared","1024","200000","","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/sciplex_new","false","0","0","50000","4.629727363586426","0.015456696040928364","0.8300424702488165","7.752960205078125","0.023817194625735283","0.724643179259368","10.902878761291504","0.03214827552437782","0.6907127138642993","31.837419509887695","0.0856986865401268","0.30739025218733396","4.629765033721924","0.01545387413352728","0.924171809389908","7.752879619598389","0.023812230676412582","0.8761246343537512","10.902897834777832","0.03214568644762039","0.8471413487778411","31.837493896484375","0.08569808304309845","0.6052486365131086"
"exalted-music-6745","finished","-","","","2025-09-11T06:18:43.000Z","3382","","","","ecfp_dict","[""logdose""]","","[""drug""]","cell_line_dict","[""cell_line""]","10","[""cell_line""]","otfm_sciplex","hparam_search","true","false","otfm_sciplex","0.5","64","deterministic","resnet","[4096,4096,4096]","0.2","0.1","closest_cell_line","1","1","constant_noise","[1024,1024,1024]","0","false","[512,512]","0.2","mlp","","","","","","","","","","","","","0.0001","false","1","mean","0.1","1","1","[1024,1024,1024]","0","1024","10000","r_squared","1024","200000","","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/sciplex_new","false","0","0","50000","4.605260848999023","0.015430832281708716","0.8311510305887778","7.609421253204346","0.02356548234820366","0.7293759741256481","10.912419319152832","0.03230586647987366","0.6874257381832796","32.060150146484375","0.08652439713478088","0.2959287531798458","4.605328559875488","0.015428091399371624","0.9245650115999988","7.609391212463379","0.023560108616948128","0.8782004660844996","10.912480354309082","0.03230272978544235","0.8463868283149859","32.060157775878906","0.08652340620756149","0.6010884775280961"
