,pathway,program,gene,cellline,perturbation
0,IFNB,IFNB_program1_up,CANX,A549,IFNAR1
0,IFNB,IFNB_program1_up,HSP90AA1,A549,IFNAR1
0,IFNB,IFNB_program1_up,EIF3A,A549,IFNAR1
0,IFNB,IFNB_program1_up,XRCC5,A549,IFNAR1
0,IFNB,IFNB_program1_up,KIF23,A549,IFNAR1
0,IFNB,IFNB_program1_up,IPO5,A549,IFNAR1
0,IFNB,IFNB_program1_up,SCFD2,A549,IFNAR1
0,IFNB,IFNB_program1_up,AP2B1,A549,IFNAR1
0,IFNB,IFNB_program1_up,FLNA,A549,IFNAR1
0,IFNB,IFNB_program1_up,SMARCC1,A549,IFNAR1
0,IFNB,IFNB_program1_up,NAA50,A549,IFNAR1
0,IFNB,IFNB_program1_up,CMSS1,A549,IFNAR1
0,IFNB,IFNB_program1_up,SMYD3,A549,IFNAR1
0,IFNB,IFNB_program1_up,PBX3,A549,IFNAR1
0,IFNB,IFNB_program1_up,FER,A549,IFNAR1
0,IFNB,IFNB_program1_up,NPM1,A549,IFNAR1
0,IFNB,IFNB_program1_up,IPO7,A549,IFNAR1
0,IFNB,IFNB_program1_up,RPS6,A549,IFNAR1
0,IFNB,IFNB_program1_up,HSPD1,A549,IFNAR1
0,IFNB,IFNB_program1_up,NUDT3,A549,IFNAR1
0,IFNB,IFNB_program1_up,KIF4A,A549,IFNAR1
0,IFNB,IFNB_program1_up,PTPN11,A549,IFNAR1
0,IFNB,IFNB_program1_up,STAG1,A549,IFNAR1
0,IFNB,IFNB_program1_up,CAPN2,A549,IFNAR1
0,IFNB,IFNB_program1_up,CKAP5,A549,IFNAR1
0,IFNB,IFNB_program1_up,BRI3BP,A549,IFNAR1
0,IFNB,IFNB_program1_up,ERMP1,A549,IFNAR1
0,IFNB,IFNB_program1_up,DOCK5,A549,IFNAR1
0,IFNB,IFNB_program1_up,ACTR2,A549,IFNAR1
0,IFNB,IFNB_program1_up,PKP4,A549,IFNAR1
0,IFNB,IFNB_program1_up,LRPPRC,A549,IFNAR1
0,IFNB,IFNB_program1_up,CTNNAL1,A549,IFNAR1
0,IFNB,IFNB_program1_up,YWHAB,A549,IFNAR1
0,IFNB,IFNB_program1_up,ROR1,A549,IFNAR1
0,IFNB,IFNB_program1_up,TOMM20,A549,IFNAR1
0,IFNB,IFNB_program1_up,EIF4G3,A549,IFNAR1
0,IFNB,IFNB_program1_up,WEE1,A549,IFNAR1
0,IFNB,IFNB_program1_up,CDK6,A549,IFNAR1
0,IFNB,IFNB_program1_up,MTATP6P1,A549,IFNAR1
0,IFNB,IFNB_program1_up,HMGA2,A549,IFNAR1
0,IFNB,IFNB_program1_up,GALNT10,A549,IFNAR1
0,IFNB,IFNB_program1_up,MKI67,A549,IFNAR1
0,IFNB,IFNB_program1_up,PTPN14,A549,IFNAR1
0,IFNB,IFNB_program1_up,EIF4EBP2,A549,IFNAR1
0,IFNB,IFNB_program1_up,MYO9A,A549,IFNAR1
0,IFNB,IFNB_program1_up,TPX2,A549,IFNAR1
0,IFNB,IFNB_program1_up,CALM1,A549,IFNAR1
0,IFNB,IFNB_program1_up,ARL15,A549,IFNAR1
0,IFNB,IFNB_program1_up,SERBP1,A549,IFNAR1
0,IFNB,IFNB_program1_up,PAICS,A549,IFNAR1
0,IFNB,IFNB_program1_up,CDC42BPA,A549,IFNAR1
0,IFNB,IFNB_program1_up,MAP3K20,A549,IFNAR1
0,IFNB,IFNB_program1_up,HACD2,A549,IFNAR1
0,IFNB,IFNB_program1_up,THADA,A549,IFNAR1
0,IFNB,IFNB_program1_up,GNL3L,A549,IFNAR1
0,IFNB,IFNB_program1_up,TMEM117,A549,IFNAR1
0,IFNB,IFNB_program1_up,SRSF1,A549,IFNAR1
0,IFNB,IFNB_program1_up,ACO1,A549,IFNAR1
0,IFNB,IFNB_program1_up,PPP3CA,A549,IFNAR1
0,IFNB,IFNB_program1_up,LDLRAD3,A549,IFNAR1
0,IFNB,IFNB_program1_up,SNRNP200,A549,IFNAR1
0,IFNB,IFNB_program1_up,KLF12,A549,IFNAR1
0,IFNB,IFNB_program1_up,MLEC,A549,IFNAR1
0,IFNB,IFNB_program1_up,SORL1,A549,IFNAR1
0,IFNB,IFNB_program1_up,MAGI1,A549,IFNAR1
0,IFNB,IFNB_program1_up,CEP83,A549,IFNAR1
0,IFNB,IFNB_program1_up,PRKAR2A,A549,IFNAR1
0,IFNB,IFNB_program1_up,XPO7,A549,IFNAR1
0,IFNB,IFNB_program1_up,CIT,A549,IFNAR1
0,IFNB,IFNB_program1_up,ASPH,A549,IFNAR1
0,IFNB,IFNB_program1_up,RPL3,A549,IFNAR1
0,IFNB,IFNB_program1_up,ACTG1,A549,IFNAR1
0,IFNB,IFNB_program1_up,ACTB,A549,IFNAR1
0,IFNB,IFNB_program1_up,PRPF8,A549,IFNAR1
0,IFNB,IFNB_program1_up,ZMIZ1,A549,IFNAR1
0,IFNB,IFNB_program1_up,SLC4A7,A549,IFNAR1
0,IFNB,IFNB_program1_up,CAMKMT,A549,IFNAR1
0,IFNB,IFNB_program1_up,SEMA3C,A549,IFNAR1
0,IFNB,IFNB_program1_up,DIAPH3,A549,IFNAR1
0,IFNB,IFNB_program1_up,CPD,A549,IFNAR1
0,IFNB,IFNB_program1_up,DYNC2H1,A549,IFNAR1
0,IFNB,IFNB_program1_up,SSRP1,A549,IFNAR1
0,IFNB,IFNB_program1_up,PDZD8,A549,IFNAR1
0,IFNB,IFNB_program1_up,KIF14,A549,IFNAR1
0,IFNB,IFNB_program1_up,CLTC,A549,IFNAR1
0,IFNB,IFNB_program1_up,VOPP1,A549,IFNAR1
0,IFNB,IFNB_program1_up,VWA8,A549,IFNAR1
0,IFNB,IFNB_program1_up,MACF1,A549,IFNAR1
0,IFNB,IFNB_program1_up,NCOR2,A549,IFNAR1
