,r2_ood
10_512,0.9544439694271484
10_1024,0.9565000849979016
10_2048,0.9565938747257863
32_512,0.9541723994696675
32_1024,0.9516725644789782
32_2048,0.9557115947457362
64_512,0.9527668306887364
64_1024,0.9518655051981135
64_2048,0.9524538640159397
128_512,0.951130477657122
128_1024,0.9526174726175962
128_2048,0.9553738767386138
256_512,0.952774879277989
256_1024,0.9539036905841881
256_2048,0.9536872502278517
