,cca_score
PTPRJ,0.7857142857142857
CEACAM22P,-0.35714285714285715
MALAT1,0.8571428571428571
TFPI2,0.8571428571428571
HSPA1A,0.5357142857142857
KRT7,0.6428571428571429
SLC12A2,0.8214285714285714
KYNU,0.8571428571428571
AKR1B10,0.8571428571428571
ABCC3,0.8214285714285714
