"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset.control_key","dataset.ood_condition","logger.group","logger.log_model","logger.offline","logger.project","model.cond_output_dropout","model.condition_embedding_dim","model.decoder_dims","model.decoder_dropout","model.epsilon","model.flow_noise","model.flow_type","model.hidden_dims","model.hidden_dropout","model.layer_norm_before_concatenation","model.layers_after_pool.dims","model.layers_after_pool.dropout_rate","model.layers_after_pool.layer_type","model.layers_before_pool.cytokines.dims","model.layers_before_pool.cytokines.dropout_rate","model.layers_before_pool.cytokines.layer_type","model.layers_before_pool.donor.dims","model.layers_before_pool.donor.dropout_rate","model.layers_before_pool.donor.layer_type","model.learning_rate","model.linear_projection_before_concatenation","model.multi_steps","model.pooling","model.tau_a","model.tau_b","model.time_encoder_dims","model.time_encoder_dropout","model.time_freqs","training.batch_size","training.n_cells_max_in_source_ood_at_log_iteration","training.n_cells_max_in_source_ood_at_train_end","training.num_iterations","training.ood_n_conditions_on_log_iteration","training.out_dir","training.save_model","training.save_preds","training.test_n_conditions_on_log_iteration","training.test_n_conditions_on_train_end","training.train_fraction_for_validation","training.valid_freq","ood_e_distance_mean","ood_mmd_mean","ood_r_squared_mean","pca_decoded_ood_r_squared_mean"
"glamorous-tree-37","finished","-","","","2024-12-14T00:01:44.000Z","5063","","is_control","IL-1-beta","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","3.5303590920041756","0.0055243694223463535","0.5139569938182831","0.922775835726957"
"proud-dream-39","finished","-","","","2024-12-14T00:14:44.000Z","7375","","is_control","IL-12","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","2.133807057126448","0.003792479634284973","0.6830462366342545","0.9578963727951934"
"classic-rain-11","finished","-","","","2024-12-13T19:21:22.000Z","7292","","is_control","C5a","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","1.825216716208832","0.003938504960387945","0.7373849501212438","0.9582991606756006"
"jolly-totem-24","finished","-","","","2024-12-13T21:56:48.000Z","7374","","is_control","GM-CSF","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","1.9071577249877691","0.004042009357362986","0.6781258781750997","0.9595125248538791"
"brisk-wildflower-26","finished","-","","","2024-12-13T22:18:55.000Z","5101","","is_control","IFN-alpha1","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","1.6976391721489368","0.0026719169691205025","0.6179412603378296","0.9617128134839"
"sleek-plasma-60","finished","-","","","2024-12-14T03:28:09.000Z","5099","","is_control","IL-3","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","1.734836960894609","0.0034214553888887167","0.7618266890446345","0.9629692545021721"
"fancy-dust-36","finished","-","","","2024-12-13T23:59:41.000Z","7385","","is_control","IL-1-alpha","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","1.601690951767902","0.0029765600338578224","0.73350690305233","0.965214394457445"
"fearless-field-54","finished","-","","","2024-12-14T02:17:41.000Z","7369","","is_control","IL-21","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","1.4846407235867811","0.002496542641893029","0.764094203710556","0.9669901057294972"
"worthy-wood-10","finished","-","","","2024-12-13T19:21:15.000Z","7494","","is_control","CD27L","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","1.4967908936171668","0.002231423743069172","0.8000993877649307","0.9669994734367183"
"curious-pond-40","finished","-","","","2024-12-14T00:14:54.000Z","7312","","is_control","IL-13","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","1.4166251846132702","0.0029965077992528677","0.7516927868127823","0.9679549775457065"
